99999,99999,"2016-09-03","2016-09-03",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-04","2016-09-04",0,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-05","2016-09-05",0,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-06","2016-09-06",1,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-07","2016-09-07",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-08","2016-09-08",0,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-09","2016-09-09",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-10","2016-09-10",3,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-11","2016-09-11",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-12","2016-09-12",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-13","2016-09-13",0,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-14","2016-09-14",1,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-15","2016-09-15",1,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-16","2016-09-16",3,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-17","2016-09-17",1,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-18","2016-09-18",3,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-19","2016-09-19",2,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-20","2016-09-20",3,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-21","2016-09-21",8,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-22","2016-09-22",3,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
99999,99999,"2016-09-23","2016-09-23",7,"incidence","","","","","",1,"RESuDe_1;R0_1.5;GImean_3.2;GIvar_3.2;alpha_0;kappa_0;pop.size_100000"
